brand_id,vendor_id,vendor_name,assessment_date,brand_reputation_score,market_visibility,customer_satisfaction,esg_score,sustainability_score,social_impact_score,governance_score,environmental_score,carbon_footprint,renewable_energy_pct
50,50,RockBase Materials,2024-06-15,87.6,88.3,88.2,86.9,84.4,86.6,85.0,83.4,141,78
51,51,ByteWise Solutions,2024-06-15,47.2,50.9,50.9,44.2,49.0,50.4,48.3,49.3,309,30
52,52,LogiTrack Systems,2024-06-15,75.7,77.4,72.2,77.6,78.0,73.3,73.5,81.0,212,35
53,53,FusionParts Mfg,2024-06-15,89.4,90.6,93.0,91.4,85.8,88.1,87.8,90.0,89,78
54,54,Elite Strategy Group,2024-06-15,75.3,71.7,71.9,78.4,73.2,79.1,72.9,78.1,352,54
55,55,CoreMin Resources,2024-06-15,85.9,85.7,86.3,82.9,85.7,88.3,82.7,83.1,94,91
56,56,NetSphere Technologies,2024-06-15,83.1,84.3,86.3,82.2,86.7,85.8,84.3,83.1,62,84
57,57,SeaRoute Logistics,2024-06-15,73.2,71.5,71.3,72.6,71.1,69.7,71.0,68.6,268,41
58,58,AutoPrecision Mfg,2024-06-15,82.9,84.8,86.6,82.1,84.9,81.6,87.8,88.8,327,60
59,59,BrightMind Consulting,2024-06-15,90.1,93.6,90.4,93.6,89.9,88.1,92.3,92.2,182,69
60,60,TerraFlex Supplies,2024-06-15,81.6,77.9,85.0,86.0,77.2,85.1,81.2,83.5,254,36
61,61,PixelCloud IT,2024-06-15,86.7,88.8,86.3,91.8,84.1,83.1,90.1,92.2,130,86
62,62,SwiftCargo Networks,2024-06-15,84.5,81.1,82.9,88.9,83.0,82.0,80.1,88.1,175,88
63,63,HeavyDuty Mfg,2024-06-15,83.8,84.2,86.2,88.7,83.0,82.4,87.6,82.0,53,73
64,64,Nexus Strategy Firm,2024-06-15,71.0,66.8,74.4,66.9,74.5,72.4,67.7,66.6,240,54
65,65,AgriMat Resources,2024-06-15,57.0,60.4,57.9,55.7,61.3,57.9,59.6,53.1,501,18
66,66,CodeBridge Technologies,2024-06-15,89.0,84.5,85.7,85.7,90.8,91.5,89.4,93.4,186,64
67,67,PrimePath Logistics,2024-06-15,79.3,83.7,79.5,85.0,75.5,78.8,83.0,79.0,203,38
68,68,MegaForge Industries,2024-06-15,87.4,89.8,91.3,90.1,83.9,87.5,91.6,86.8,136,71
69,69,TrueNorth Consulting,2024-06-15,67.3,65.0,68.4,71.1,69.9,71.1,68.7,65.7,373,15
70,70,BaseMet Resources,2024-06-15,85.4,88.1,81.8,83.4,83.8,84.2,86.2,82.0,83,93
71,71,ClearPath IT Group,2024-06-15,95.2,99.4,91.4,97.7,98.1,91.5,97.4,91.0,82,84
72,72,BlueOcean Freight,2024-06-15,54.4,52.4,51.3,54.2,55.0,57.3,50.1,57.9,510,9
73,73,PeakCraft Manufacturing,2024-06-15,79.1,77.9,75.2,84.7,76.9,80.5,83.1,82.1,209,58
74,74,Axis Strategy Partners,2024-06-15,49.8,50.8,48.6,49.3,51.7,46.0,51.4,48.8,316,25
75,75,SunMat Corp,2024-06-15,77.2,72.5,76.5,78.8,78.1,74.8,73.0,82.5,299,45
76,76,HorizonTech Inc,2024-06-15,50.6,50.6,53.6,49.1,51.1,48.6,49.9,52.1,340,24
77,77,FlexFreight Solutions,2024-06-15,86.5,85.1,84.2,86.0,89.9,84.1,85.5,80.7,69,63
78,78,ProMold Manufacturing,2024-06-15,73.1,72.4,74.1,72.6,77.3,74.4,71.1,78.6,168,43
79,79,GrowthPoint Consulting,2024-06-15,58.1,55.5,59.1,53.7,60.2,54.8,54.3,58.3,455,28
80,80,NordicRaw Materials,2024-06-15,82.2,84.1,79.3,86.5,86.2,79.4,86.6,87.5,293,62
81,81,CatalystIT Systems,2024-06-15,78.9,74.9,75.5,80.5,75.8,77.3,83.0,78.8,191,52
82,82,CargoNation Ltd,2024-06-15,91.9,94.6,95.0,91.5,87.2,93.8,92.4,89.5,102,92
83,83,BoltWorks Mfg,2024-06-15,82.8,86.6,81.1,85.6,79.5,80.4,85.5,79.6,111,72
84,84,PinnacleConsult Inc,2024-06-15,45.5,49.5,44.4,49.5,42.2,45.3,43.7,46.3,370,25
85,85,EcoMine Supplies,2024-06-15,63.8,62.0,63.1,58.8,67.8,60.5,68.5,59.2,349,12
86,86,InfoTech Dynamics,2024-06-15,93.2,90.2,94.0,95.4,92.5,90.6,92.8,93.8,109,85
87,87,JetRoute Logistics,2024-06-15,73.9,70.5,70.6,76.2,70.9,70.6,71.1,69.0,179,32
88,88,CoreCast Mfg,2024-06-15,70.5,71.3,71.9,68.1,69.1,68.0,73.7,65.8,304,54
89,89,TrueConsult Global,2024-06-15,90.1,94.7,91.9,92.4,86.0,93.7,87.4,89.2,67,74
90,90,MarbleMat Resources,2024-06-15,72.2,75.8,69.9,72.8,72.8,73.1,76.1,75.7,332,34
91,91,TechSphere Solutions,2024-06-15,63.7,58.9,66.8,60.7,68.2,61.8,62.4,58.0,402,13
92,92,AquaFreight Corp,2024-06-15,88.9,91.4,86.1,91.4,90.4,86.1,84.7,87.4,150,93
93,93,StrongBuild Mfg,2024-06-15,92.4,88.4,96.2,94.5,97.2,88.9,95.2,94.7,100,94
94,94,Vantage Consulting,2024-06-15,88.2,85.2,87.5,92.6,83.4,86.9,89.2,87.0,98,86
95,95,ForestMat Supplies,2024-06-15,90.4,90.0,86.6,85.7,92.2,90.5,85.4,84.7,112,77
96,96,ClearVision IT,2024-06-15,88.9,86.1,86.7,83.3,91.5,87.6,89.3,88.8,62,74
97,97,NightOwl Logistics,2024-06-15,61.0,61.9,57.0,61.9,57.8,61.1,64.8,65.9,367,18
98,98,TitanForge Mfg,2024-06-15,93.7,90.9,95.9,98.5,98.3,96.0,98.4,98.8,136,84
